Tag;Datum;Zeit;Home;Away;Resultat;OT/SO;Phase
Sa;21.12.2024;19:45;Lausanne HC;Genève-Servette HC; 3:0;;Regular Season
Sa;21.12.2024;19:45;SCL Tigers;HC Lugano; 4:3;;Regular Season
Sa;21.12.2024;19:45;ZSC Lions;SC Bern; 2:3;;Regular Season
Sa;21.12.2024;19:45;EV Zug;HC Ajoie; 4:0;;Regular Season
Mo;23.12.2024;19:45;HC Ajoie;Genève-Servette HC; 2:4;;Regular Season
Mo;23.12.2024;19:45;EHC Biel-Bienne;SC Bern; 0:3;;Regular Season
Mo;23.12.2024;19:45;EHC Kloten;HC Davos; 4:3;;Regular Season
Mo;23.12.2024;19:45;HC Lugano;HC Ambri-Piotta; 4:1;;Regular Season
Mo;23.12.2024;19:45;SCL Tigers;Lausanne HC; 3:4;SO;Regular Season
Mo;23.12.2024;19:45;ZSC Lions;SC Rapperswil-Jona Lakers; 4:1;;Regular Season
Mo;23.12.2024;19:45;EV Zug;Fribourg-Gottéron; 1:2;;Regular Season
Do;02.01.2025;15:45;Lausanne HC;EHC Kloten; 6:1;;Regular Season
Do;02.01.2025;19:45;HC Ambri-Piotta;SCL Tigers; 1:2;;Regular Season
Do;02.01.2025;19:45;SC Bern;HC Lugano; 1:4;;Regular Season
Do;02.01.2025;19:45;Genève-Servette HC;EHC Biel-Bienne; 6:4;;Regular Season
Do;02.01.2025;19:45;SC Rapperswil-Jona Lakers;EV Zug; 5:3;;Regular Season
Fr;03.01.2025;19:45;HC Davos;HC Ajoie; 0:3;;Regular Season
Fr;03.01.2025;19:45;Fribourg-Gottéron;ZSC Lions; 4:2;;Regular Season
Sa;04.01.2025;19:45;EHC Biel-Bienne;SC Rapperswil-Jona Lakers; 2:3;SO;Regular Season
Sa;04.01.2025;19:45;EHC Kloten;SC Bern; 4:5;;Regular Season
Sa;04.01.2025;19:45;SCL Tigers;Genève-Servette HC; 3:0;;Regular Season
Sa;04.01.2025;19:45;EV Zug;HC Davos; 4:1;;Regular Season
So;05.01.2025;15:45;Genève-Servette HC;SCL Tigers; 3:2;;Regular Season
So;05.01.2025;15:45;HC Ajoie;HC Ambri-Piotta; 3:4;OT;Regular Season
So;05.01.2025;15:45;HC Lugano;Fribourg-Gottéron; 1:5;;Regular Season
So;05.01.2025;15:45;ZSC Lions;Lausanne HC; 1:2;;Regular Season
Mo;06.01.2025;19:45;Lausanne HC;EV Zug; 2:1;OT;Regular Season
Di;07.01.2025;19:45;HC Ajoie;SCL Tigers; 1:0;;Regular Season
Di;07.01.2025;19:45;HC Ambri-Piotta;Fribourg-Gottéron; 2:1;SO;Regular Season
Di;07.01.2025;19:45;EHC Biel-Bienne;HC Lugano; 2:1;;Regular Season
Di;07.01.2025;19:45;HC Davos;SC Rapperswil-Jona Lakers; 5:3;;Regular Season
Di;07.01.2025;19:45;Genève-Servette HC;SC Bern; 2:3;;Regular Season
Di;07.01.2025;19:45;EHC Kloten;ZSC Lions; 5:4;SO;Regular Season
Mi;08.01.2025;19:45;EV Zug;Genève-Servette HC; 7:4;;Regular Season
Do;09.01.2025;20:00;Fribourg-Gottéron;HC Davos; 3:4;OT;Regular Season
Fr;10.01.2025;19:45;HC Ambri-Piotta;Genève-Servette HC; 1:2;OT;Regular Season
Fr;10.01.2025;19:45;SC Bern;HC Ajoie; 5:1;;Regular Season
Fr;10.01.2025;19:45;SC Rapperswil-Jona Lakers;EHC Kloten; 5:2;;Regular Season
Fr;10.01.2025;19:45;HC Lugano;Lausanne HC; 1:3;;Regular Season
Fr;10.01.2025;19:45;SCL Tigers;ZSC Lions; 0:1;;Regular Season
Sa;11.01.2025;19:45;HC Ajoie;HC Lugano; 3:1;;Regular Season
Sa;11.01.2025;19:45;EHC Biel-Bienne;HC Ambri-Piotta; 4:3;;Regular Season
Sa;11.01.2025;19:45;HC Davos;SC Bern; 3:2;;Regular Season
Sa;11.01.2025;19:45;Genève-Servette HC;Fribourg-Gottéron; 1:2;;Regular Season
Sa;11.01.2025;19:45;EHC Kloten;SCL Tigers; 3:2;;Regular Season
Sa;11.01.2025;19:45;ZSC Lions;EV Zug; 1:2;;Regular Season
So;12.01.2025;15:45;EV Zug;EHC Biel-Bienne; 4:1;;Regular Season
Mi;15.01.2025;19:45;Fribourg-Gottéron;Lausanne HC; 4:1;;Regular Season
Mi;15.01.2025;19:45;SC Rapperswil-Jona Lakers;HC Ajoie; 3:1;;Regular Season
Mi;15.01.2025;19:45;SCL Tigers;EHC Biel-Bienne; 1:5;;Regular Season
Mi;15.01.2025;19:45;EV Zug;EHC Kloten; 3:2;;Regular Season
Mi;15.01.2025;19:47;SC Bern;HC Ambri-Piotta; 2:4;;Regular Season
Do;16.01.2025;20:00;EHC Biel-Bienne;Lausanne HC; 3:2;;Regular Season
Fr;17.01.2025;19:45;HC Ajoie;Fribourg-Gottéron; 1:2;;Regular Season
Fr;17.01.2025;19:45;HC Ambri-Piotta;ZSC Lions; 2:3;OT;Regular Season
Fr;17.01.2025;19:45;SC Bern;EV Zug; 1:5;;Regular Season
Fr;17.01.2025;19:45;Genève-Servette HC;EHC Kloten; 2:0;;Regular Season
Fr;17.01.2025;19:45;HC Lugano;HC Davos; 6:3;;Regular Season
Sa;18.01.2025;19:45;Fribourg-Gottéron;SC Bern; 2:1;OT;Regular Season
Sa;18.01.2025;19:45;EHC Kloten;EHC Biel-Bienne; 3:2;;Regular Season
Sa;18.01.2025;19:45;SC Rapperswil-Jona Lakers;Genève-Servette HC; 7:3;;Regular Season
Sa;18.01.2025;19:45;Lausanne HC;HC Ajoie; 3:0;;Regular Season
Sa;18.01.2025;19:45;ZSC Lions;HC Lugano; 4:1;;Regular Season
Sa;18.01.2025;19:45;EV Zug;SCL Tigers; 3:2;;Regular Season
So;19.01.2025;15:45;SCL Tigers;SC Rapperswil-Jona Lakers; 3:1;;Regular Season
Mi;22.01.2025;19:45;HC Ambri-Piotta;HC Ajoie; 7:3;;Regular Season
Mi;22.01.2025;19:45;SC Bern;Lausanne HC; 2:3;OT;Regular Season
Do;23.01.2025;19:45;HC Lugano;Genève-Servette HC; 5:2;;Regular Season
Fr;24.01.2025;19:45;Fribourg-Gottéron;SCL Tigers; 4:5;OT;Regular Season
Fr;24.01.2025;19:45;EHC Kloten;HC Ajoie; 5:1;;Regular Season
Fr;24.01.2025;19:45;Lausanne HC;SC Bern; 5:4;OT;Regular Season
Fr;24.01.2025;19:45;ZSC Lions;EHC Biel-Bienne; 3:2;;Regular Season
Fr;24.01.2025;19:45;EV Zug;HC Ambri-Piotta; 3:4;OT;Regular Season
Sa;25.01.2025;19:45;HC Ajoie;ZSC Lions; 2:3;OT;Regular Season
Sa;25.01.2025;19:45;HC Ambri-Piotta;Lausanne HC; 2:4;;Regular Season
Sa;25.01.2025;19:45;SC Bern;SC Rapperswil-Jona Lakers; 3:2;OT;Regular Season
Sa;25.01.2025;19:45;EHC Biel-Bienne;Fribourg-Gottéron; 3:2;OT;Regular Season
Sa;25.01.2025;19:45;Genève-Servette HC;EV Zug; 1:2;OT;Regular Season
Sa;25.01.2025;19:45;HC Lugano;EHC Kloten; 4:1;;Regular Season
Sa;25.01.2025;19:45;SCL Tigers;HC Davos; 4:3;;Regular Season
So;26.01.2025;15:45;SC Rapperswil-Jona Lakers;HC Lugano; 2:6;;Regular Season
Di;28.01.2025;19:45;HC Ambri-Piotta;HC Lugano; 2:1;SO;Regular Season
Di;28.01.2025;19:45;SC Bern;EHC Biel-Bienne; 4:1;;Regular Season
Di;28.01.2025;19:45;HC Davos;EHC Kloten; 4:1;;Regular Season
Di;28.01.2025;19:45;Fribourg-Gottéron;EV Zug; 3:2;;Regular Season
Di;28.01.2025;19:45;Genève-Servette HC;HC Ajoie; 2:4;;Regular Season
Di;28.01.2025;19:45;SC Rapperswil-Jona Lakers;ZSC Lions; 4:2;;Regular Season
Di;28.01.2025;19:45;Lausanne HC;SCL Tigers; 3:2;OT;Regular Season
Mi;29.01.2025;19:45;SCL Tigers;ZSC Lions; 1:2;;Regular Season
Do;30.01.2025;19:45;HC Davos;Genève-Servette HC; 3:2;;Regular Season
Fr;31.01.2025;19:45;EHC Biel-Bienne;HC Ajoie; 3:4;OT;Regular Season
Fr;31.01.2025;19:45;EHC Kloten;Fribourg-Gottéron; 0:3;;Regular Season
Fr;31.01.2025;19:45;SC Rapperswil-Jona Lakers;HC Ambri-Piotta; 3:4;OT;Regular Season
Fr;31.01.2025;19:45;Lausanne HC;HC Davos; 3:0;;Regular Season
Fr;31.01.2025;19:45;SCL Tigers;SC Bern; 6:2;;Regular Season
Fr;31.01.2025;19:45;ZSC Lions;Genève-Servette HC; 4:1;;Regular Season
Fr;31.01.2025;19:45;EV Zug;HC Lugano; 7:4;;Regular Season
Sa;01.02.2025;19:45;HC Ajoie;EV Zug; 2:1;;Regular Season
Sa;01.02.2025;19:45;HC Ambri-Piotta;EHC Kloten; 3:1;;Regular Season
Sa;01.02.2025;19:45;SC Bern;ZSC Lions; 5:2;;Regular Season
Sa;01.02.2025;19:45;Fribourg-Gottéron;SC Rapperswil-Jona Lakers; 3:2;;Regular Season
So;02.02.2025;15:45;HC Davos;EHC Biel-Bienne; 3:2;;Regular Season
So;02.02.2025;15:45;Genève-Servette HC;Lausanne HC; 1:0;;Regular Season
So;02.02.2025;15:45;HC Lugano;SCL Tigers; 1:3;;Regular Season
Mo;03.02.2025;19:45;HC Lugano;ZSC Lions; 2:1;OT;Regular Season
Di;11.02.2025;19:45;Genève-Servette HC;HC Lugano; 5:2;;Regular Season
Di;11.02.2025;19:45;EHC Biel-Bienne;ZSC Lions; 4:3;;Regular Season
Di;11.02.2025;19:45;Lausanne HC;SC Rapperswil-Jona Lakers; 4:2;;Regular Season
Di;11.02.2025;19:45;HC Davos;EV Zug; 4:5;SO;Regular Season
Mi;12.02.2025;19:45;ZSC Lions;HC Ajoie; 4:0;;Regular Season
Fr;14.02.2025;19:45;HC Ajoie;HC Davos; 2:5;;Regular Season
Fr;14.02.2025;19:45;EHC Biel-Bienne;Genève-Servette HC; 7:4;;Regular Season
Fr;14.02.2025;19:45;EHC Kloten;Lausanne HC; 1:3;;Regular Season
Fr;14.02.2025;19:45;HC Lugano;SC Bern; 1:3;;Regular Season
Fr;14.02.2025;19:45;SCL Tigers;HC Ambri-Piotta; 3:1;;Regular Season
Fr;14.02.2025;19:45;ZSC Lions;Fribourg-Gottéron; 2:3;OT;Regular Season
Fr;14.02.2025;19:45;EV Zug;SC Rapperswil-Jona Lakers; 6:1;;Regular Season
Sa;15.02.2025;19:45;HC Ambri-Piotta;HC Ajoie; 5:4;SO;Regular Season
Sa;15.02.2025;19:45;SC Bern;EHC Kloten; 3:4;OT;Regular Season
Sa;15.02.2025;19:45;Fribourg-Gottéron;HC Lugano; 2:3;;Regular Season
Sa;15.02.2025;19:45;Genève-Servette HC;SCL Tigers; 5:4;OT;Regular Season
Sa;15.02.2025;19:45;SC Rapperswil-Jona Lakers;EHC Biel-Bienne; 3:1;;Regular Season
Sa;15.02.2025;19:45;Lausanne HC;ZSC Lions; 3:4;SO;Regular Season
Mi;19.02.2025;19:45;HC Davos;HC Ambri-Piotta; 0:2;;Regular Season
Fr;21.02.2025;19:45;HC Ajoie;SC Bern; 1:4;;Regular Season
Fr;21.02.2025;19:45;EHC Biel-Bienne;EV Zug; 6:2;;Regular Season
Fr;21.02.2025;19:45;HC Davos;Fribourg-Gottéron; 2:3;SO;Regular Season
Fr;21.02.2025;19:45;Genève-Servette HC;HC Ambri-Piotta; 4:2;;Regular Season
Fr;21.02.2025;19:45;Lausanne HC;HC Lugano; 4:3;;Regular Season
Sa;22.02.2025;19:45;HC Ambri-Piotta;EHC Biel-Bienne; 5:2;;Regular Season
Sa;22.02.2025;19:45;SC Bern;HC Davos; 4:0;;Regular Season
Sa;22.02.2025;19:45;Fribourg-Gottéron;Genève-Servette HC; 1:4;;Regular Season
Sa;22.02.2025;19:45;SC Rapperswil-Jona Lakers;Lausanne HC; 3:1;;Regular Season
Sa;22.02.2025;19:45;SCL Tigers;EHC Kloten; 2:4;;Regular Season
Sa;22.02.2025;19:45;EV Zug;ZSC Lions; 5:4;;Regular Season
So;23.02.2025;15:45;EHC Kloten;SC Rapperswil-Jona Lakers; 3:2;;Regular Season
So;23.02.2025;15:45;ZSC Lions;SCL Tigers; 3:2;OT;Regular Season
So;23.02.2025;15:45;HC Lugano;HC Ajoie; 2:0;;Regular Season
Di;25.02.2025;19:45;Genève-Servette HC;EV Zug; 3:2;;Regular Season
Di;25.02.2025;19:45;Fribourg-Gottéron;EHC Biel-Bienne; 3:4;OT;Regular Season
Di;25.02.2025;19:45;ZSC Lions;HC Davos; 3:5;;Regular Season
Do;27.02.2025;19:45;HC Ajoie;SC Rapperswil-Jona Lakers; 4:5;;Regular Season
Do;27.02.2025;19:45;HC Ambri-Piotta;SC Bern; 4:1;;Regular Season
Do;27.02.2025;19:45;EHC Biel-Bienne;SCL Tigers; 4:3;SO;Regular Season
Do;27.02.2025;19:45;HC Davos;ZSC Lions; 4:2;;Regular Season
Do;27.02.2025;19:45;Genève-Servette HC;HC Lugano; 3:2;;Regular Season
Do;27.02.2025;19:45;EHC Kloten;EV Zug; 3:2;;Regular Season
Do;27.02.2025;19:45;Lausanne HC;Fribourg-Gottéron; 0:2;;Regular Season
Sa;01.03.2025;19:45;SC Bern;Genève-Servette HC; 5:1;;Regular Season
Sa;01.03.2025;19:45;Fribourg-Gottéron;HC Ambri-Piotta; 4:1;;Regular Season
Sa;01.03.2025;19:45;SC Rapperswil-Jona Lakers;HC Davos; 2:1;;Regular Season
Sa;01.03.2025;19:45;HC Lugano;EHC Biel-Bienne; 4:2;;Regular Season
Sa;01.03.2025;19:45;SCL Tigers;HC Ajoie; 5:1;;Regular Season
Sa;01.03.2025;19:45;ZSC Lions;EHC Kloten; 4:2;;Regular Season
Sa;01.03.2025;19:45;EV Zug;Lausanne HC; 4:1;;Regular Season
Di;04.03.2025;20:00;SCL Tigers;EHC Kloten; 3:1;;Play-In Round 1
Di;04.03.2025;20:00;HC Ambri-Piotta;SC Rapperswil-Jona Lakers; 2:1;;Play-In Round 1
Do;06.03.2025;20:00;EHC Kloten;SCL Tigers; 2:1;;Play-In Round 1
Do;06.03.2025;20:00;SC Rapperswil-Jona Lakers;HC Ambri-Piotta; 3:3;OT;Play-In Round 1
Sa;08.03.2025;20:00;HC Ambri-Piotta;EHC Kloten; 4:5;;Play-In Round 2
Mo;10.03.2025;20:00;EHC Kloten;HC Ambri-Piotta; 5:4;;Play-In Round 2
Do;13.03.2025;20:00;Lausanne HC;SCL Tigers; 4:3;;Playoff 1/4 Final
Do;13.03.2025;20:00;ZSC Lions;EHC Kloten; 5:1;;Playoff 1/4 Final
Fr;14.03.2025;20:00;SC Bern;Fribourg-Gottéron; 3:4;OT;Playoff 1/4 Final
Fr;14.03.2025;20:00;EV Zug;HC Davos; 1:2;;Playoff 1/4 Final
Sa;15.03.2025;20:00;SCL Tigers;Lausanne HC; 4:3;OT;Playoff 1/4 Final
Sa;15.03.2025;20:00;EHC Kloten;ZSC Lions; 0:5;;Playoff 1/4 Final
Sa;15.03.2025;20:00;HC Lugano;HC Ajoie; 3:4;OT;Playout Final
So;16.03.2025;20:00;Fribourg-Gottéron;SC Bern; 3:0;;Playoff 1/4 Final
So;16.03.2025;20:00;HC Davos;EV Zug; 5:1;;Playoff 1/4 Final
Mo;17.03.2025;20:00;Lausanne HC;SCL Tigers; 4:2;;Playoff 1/4 Final
Mo;17.03.2025;20:00;ZSC Lions;EHC Kloten; 1:0;;Playoff 1/4 Final
Mo;17.03.2025;20:00;HC Ajoie;HC Lugano; 3:1;;Playout Final
Di;18.03.2025;20:00;SC Bern;Fribourg-Gottéron; 3:2;OT;Playoff 1/4 Final
Di;18.03.2025;20:00;EV Zug;HC Davos; 0:4;;Playoff 1/4 Final
Mi;19.03.2025;20:00;SCL Tigers;Lausanne HC; 3:2;;Playoff 1/4 Final
Mi;19.03.2025;20:00;EHC Kloten;ZSC Lions; 2:1;;Playoff 1/4 Final
Mi;19.03.2025;20:00;HC Lugano;HC Ajoie; 2:1;;Playout Final
Do;20.03.2025;20:00;Fribourg-Gottéron;SC Bern; 2:1;;Playoff 1/4 Final
Do;20.03.2025;20:00;HC Davos;EV Zug; 5:2;;Playoff 1/4 Final
Fr;21.03.2025;20:00;Lausanne HC;SCL Tigers; 4:1;;Playoff 1/4 Final
Fr;21.03.2025;20:00;ZSC Lions;EHC Kloten; 5:2;;Playoff 1/4 Final
Fr;21.03.2025;20:00;HC Ajoie;HC Lugano; 3:4;OT;Playout Final
Sa;22.03.2025;20:00;SC Bern;Fribourg-Gottéron; 3:2;OT;Playoff 1/4 Final
So;23.03.2025;20:00;SCL Tigers;Lausanne HC; 3:2;;Playoff 1/4 Final
So;23.03.2025;20:00;HC Lugano;HC Ajoie; 3:0;;Playout Final
Mo;24.03.2025;20:00;Fribourg-Gottéron;SC Bern; 3:4;OT;Playoff 1/4 Final
Di;25.03.2025;20:00;Lausanne HC;SCL Tigers; 6:2;;Playoff 1/4 Final
Di;25.03.2025;20:00;HC Ajoie;HC Lugano; 1:2;;Playout Final
Mi;26.03.2025;20:01;SC Bern;Fribourg-Gottéron; 1:4;;Playoff 1/4 Final
Sa;29.03.2025;20:00;Lausanne HC;Fribourg-Gottéron; 2:3;;Playoff 1/2 Final
Sa;29.03.2025;20:00;ZSC Lions;HC Davos; 6:1;;Playoff 1/2 Final
Di;01.04.2025;20:00;Fribourg-Gottéron;Lausanne HC; 0:1;;Playoff 1/2 Final
Di;01.04.2025;20:00;HC Davos;ZSC Lions; 4:3;;Playoff 1/2 Final
Di;01.04.2025;20:00;HC Ajoie;EHC Visp; 2:3;OT;League Qualification
Do;03.04.2025;20:00;Lausanne HC;Fribourg-Gottéron; 2:3;OT;Playoff 1/2 Final
Do;03.04.2025;20:00;ZSC Lions;HC Davos; 5:1;;Playoff 1/2 Final
Do;03.04.2025;20:00;EHC Visp;HC Ajoie; 4:5;OT;League Qualification
Sa;05.04.2025;20:00;Fribourg-Gottéron;Lausanne HC; 4:3;OT;Playoff 1/2 Final
Sa;05.04.2025;20:00;HC Davos;ZSC Lions; 3:1;;Playoff 1/2 Final
Sa;05.04.2025;20:00;HC Ajoie;EHC Visp; 3:2;OT;League Qualification
Di;08.04.2025;20:00;Lausanne HC;Fribourg-Gottéron; 2:1;;Playoff 1/2 Final
Di;08.04.2025;20:00;ZSC Lions;HC Davos; 3:0;;Playoff 1/2 Final
Di;08.04.2025;20:00;EHC Visp;HC Ajoie; 0:3;;League Qualification
Do;10.04.2025;20:00;Fribourg-Gottéron;Lausanne HC; 1:4;;Playoff 1/2 Final
Do;10.04.2025;20:00;HC Davos;ZSC Lions; 4:6;;Playoff 1/2 Final
Do;10.04.2025;20:00;HC Ajoie;EHC Visp; 5:1;;League Qualification
Sa;12.04.2025;20:00;Lausanne HC;Fribourg-Gottéron; 5:1;;Playoff 1/2 Final
Di;15.04.2025;20:00;Lausanne HC;ZSC Lions; 0:3;;Playoff Final
Do;17.04.2025;20:00;ZSC Lions;Lausanne HC; 3:2;OT;Playoff Final
Sa;19.04.2025;20:00;Lausanne HC;ZSC Lions; 4:2;;Playoff Final
Di;22.04.2025;20:00;ZSC Lions;Lausanne HC; 3:1;;Playoff Final
Do;24.04.2025;20:00;Lausanne HC;ZSC Lions; 2:3;;Playoff Final
